date,etf_code,action,shares,price,amount,cost
2025-01-02,512000,buy,188700,1.058,199644.6,259.53798
2025-01-02,510880,buy,60900,3.279,199691.1,259.59843
2025-01-02,159920,buy,163500,1.221,199633.5,259.52355
2025-01-02,512800,buy,137600,1.451,199657.6,259.55487999999997
2025-01-02,159928,buy,249900,0.799,199670.1,259.57113
2025-01-13,516880,buy,300,0.588,176.39999999999998,0.22931999999999997
2025-01-13,515000,buy,100,1.234,123.4,0.16042
2025-01-20,159928,sell,249900,0.785,196171.5,255.02294999999998
2025-01-20,510880,sell,60900,3.185,193966.5,252.15644999999998
2025-01-20,159915,buy,94300,2.062,194446.59999999998,252.78057999999996
2025-01-20,512480,buy,192600,1.01,194526.0,252.88379999999998
2025-01-27,512000,sell,188700,1.038,195870.6,254.63178
2025-01-27,512480,sell,192600,0.99,190674.0,247.87619999999998
2025-01-27,510230,buy,299500,1.288,385756.0,501.4828
2025-02-17,510230,sell,299500,1.307,391446.5,508.88045
2025-02-17,588000,buy,357200,1.093,390419.6,507.54547999999994
2025-02-24,512800,sell,137600,1.481,203785.6,264.92127999999997
2025-03-03,515000,sell,100,1.355,135.5,0.17615
2025-03-03,516160,buy,100700,2.02,203414.0,264.4382
2025-03-10,159915,sell,94300,2.159,203593.69999999998,264.67180999999994
2025-03-10,512690,buy,331300,0.613,203086.9,264.01297
2025-03-17,588000,sell,357200,1.14,407207.99999999994,529.3703999999999
2025-03-17,512660,buy,372200,1.091,406070.2,527.89126
2025-03-24,516880,sell,300,0.623,186.9,0.24297
2025-03-31,516160,sell,100700,1.898,191128.59999999998,248.46717999999996
2025-03-31,512010,buy,527300,0.362,190882.6,248.14738
2025-04-07,512690,sell,331300,0.594,196792.19999999998,255.82985999999997
2025-04-07,159920,sell,163500,1.275,208462.5,271.00124999999997
2025-04-14,512010,sell,527300,0.35,184555.0,239.92149999999998
2025-04-28,510300,buy,151700,3.876,587989.2,764.38596
2025-06-23,510300,sell,151700,3.891,590264.7,767.3441099999999
2025-06-30,512660,sell,372200,1.147,426913.4,554.98742
